Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-08 00:00:00-04:00,670.0,674.5,657.75,670.1500244140625,457100,0.0,0.0
2024-04-09 00:00:00-04:00,669.6400146484375,678.6099853515625,656.6099853515625,659.1300048828125,539000,0.0,0.0
2024-04-10 00:00:00-04:00,641.25,662.780029296875,636.0499877929688,657.7100219726562,364500,0.0,0.0
2024-04-11 00:00:00-04:00,660.010009765625,682.6599731445312,660.010009765625,682.02001953125,520400,0.0,0.0
2024-04-12 00:00:00-04:00,677.739990234375,679.2999877929688,653.9149780273438,663.3499755859375,469900,0.0,0.0
2024-04-15 00:00:00-04:00,663.1599731445312,664.6950073242188,637.27001953125,637.6300048828125,345700,0.0,0.0
2024-04-16 00:00:00-04:00,636.1799926757812,639.1900024414062,628.9849853515625,633.8499755859375,364100,0.0,0.0
2024-04-17 00:00:00-04:00,633.8499755859375,656.8800048828125,633.22998046875,633.4500122070312,556900,0.0,0.0
2024-04-18 00:00:00-04:00,634.5900268554688,668.6500244140625,631.8049926757812,649.5800170898438,726100,0.0,0.0
2024-04-19 00:00:00-04:00,652.0,662.52001953125,623.5700073242188,631.239990234375,810800,0.0,0.0
2024-04-22 00:00:00-04:00,632.719970703125,641.5499877929688,619.7100219726562,633.0399780273438,511500,0.0,0.0
2024-04-23 00:00:00-04:00,641.2999877929688,656.7999877929688,631.1199951171875,651.780029296875,680700,0.0,0.0
2024-04-24 00:00:00-04:00,661.6400146484375,664.02001953125,647.280029296875,651.739990234375,399800,0.0,0.0
2024-04-25 00:00:00-04:00,644.1599731445312,644.1599731445312,622.4199829101562,636.0999755859375,496800,0.0,0.0
2024-04-26 00:00:00-04:00,634.3099975585938,642.0859985351562,630.52197265625,631.1300048828125,591100,0.0,0.0
2024-04-29 00:00:00-04:00,633.8599853515625,644.655029296875,625.9299926757812,636.1599731445312,363800,0.0,0.0
2024-04-30 00:00:00-04:00,630.0,634.97998046875,604.5700073242188,604.8699951171875,607300,0.0,0.0
2024-05-01 00:00:00-04:00,607.239990234375,622.25,585.0089721679688,606.0900268554688,626200,0.0,0.0
2024-05-02 00:00:00-04:00,603.5599975585938,606.2100219726562,582.0,590.8900146484375,873600,0.0,0.0
2024-05-03 00:00:00-04:00,605.5399780273438,607.8599853515625,595.0,600.27001953125,354200,0.0,0.0
2024-05-06 00:00:00-04:00,607.4000244140625,617.6599731445312,602.260009765625,617.219970703125,436700,0.0,0.0
2024-05-07 00:00:00-04:00,615.030029296875,616.6900024414062,604.8250122070312,615.4600219726562,546900,0.0,0.0
