,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Free Cash Flow,1173795000.0,1051896000.0,1003109000.0,100061000.0,812290000.0
End Cash Position,4698085000.0,3159506000.0,2790420000.0,2553090000.0,2816158000.0
Beginning Cash Position,3159506000.0,2790420000.0,2553090000.0,2816158000.0,3472390000.0
Effect Of Exchange Rate Changes,-20934000.0,-2629000.0,-959000.0,24303000.0,-16759000.0
Changes In Cash,1559513000.0,371715000.0,238289000.0,-287371000.0,-639473000.0
Financing Cash Flow,2052722000.0,144272000.0,-85994000.0,-520351000.0,-753763000.0
Investing Cash Flow,-1667004000.0,-824453000.0,-678826000.0,-723128000.0,-698000000.0
Operating Cash Flow,1173795000.0,1051896000.0,1003109000.0,956108000.0,812290000.0
