period_type,period,fiscal_year,fiscal_period,form,filed,end,revenue,gross_profit,operating_income,net_income,operating_cash_flow,capital_expenditures,cash,debt,assets,liabilities,stockholders_equity,shares_outstanding
annual,2023,2023,FY,10-K,2025-08-21,2023-06-30,6086000000,430000000,-2035000000,-2143000000,-713000000,-219000000,292000000,,,,11439000000,145000000
annual,2024,2024,FY,10-K,2025-08-21,2024-06-28,6663000000,1072000000,-468000000,-672000000,-309000000,-166000000,328000000,,13506000000,2424000000,11082000000,145000000
annual,2025,2025,FY,10-K,2025-08-21,2025-06-27,7355000000,2212000000,-1377000000,-1641000000,84000000,-204000000,1481000000,1849000000.0,12985000000,3769000000,9216000000,145000000
