Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-08 00:00:00-04:00,1513.25,1513.97998046875,1488.0,1488.5799560546875,230600,0.0,0.0
2024-04-09 00:00:00-04:00,1492.3699951171875,1503.0,1478.6199951171875,1495.010009765625,255300,0.0,0.0
2024-04-10 00:00:00-04:00,1474.8499755859375,1491.8599853515625,1463.489990234375,1478.0,251600,0.0,0.0
2024-04-11 00:00:00-04:00,1486.0,1509.02001953125,1479.0,1507.56005859375,286800,0.0,0.0
2024-04-12 00:00:00-04:00,1495.18994140625,1517.1400146484375,1442.8900146484375,1444.1400146484375,539400,0.0,0.0
2024-04-15 00:00:00-04:00,1466.3900146484375,1495.300048828125,1400.8299560546875,1415.8800048828125,627100,0.0,0.0
2024-04-16 00:00:00-04:00,1418.0,1419.8499755859375,1396.68994140625,1397.8800048828125,364700,0.0,0.0
2024-04-17 00:00:00-04:00,1404.4000244140625,1414.18994140625,1389.0,1397.8599853515625,448600,0.0,0.0
2024-04-18 00:00:00-04:00,1388.949951171875,1398.8900146484375,1366.9300537109375,1370.25,391400,0.0,0.0
2024-04-19 00:00:00-04:00,1379.1300048828125,1379.1300048828125,1344.31005859375,1356.4300537109375,359400,0.0,0.0
2024-04-22 00:00:00-04:00,1364.219970703125,1370.3399658203125,1324.989990234375,1368.22998046875,389300,0.0,0.0
2024-04-23 00:00:00-04:00,1390.0,1408.1800537109375,1367.280029296875,1395.0,418100,0.0,0.0
2024-04-24 00:00:00-04:00,1384.8699951171875,1399.699951171875,1360.0,1370.0,301300,0.0,0.0
2024-04-25 00:00:00-04:00,1350.0,1369.0799560546875,1341.0,1363.8299560546875,211300,0.0,0.0
2024-04-26 00:00:00-04:00,1380.0,1416.760009765625,1376.68994140625,1406.0,443300,0.0,0.0
2024-04-29 00:00:00-04:00,1430.0,1446.43994140625,1419.8599853515625,1438.3599853515625,334300,0.0,0.0
2024-04-30 00:00:00-04:00,1438.3599853515625,1485.239990234375,1433.02001953125,1458.699951171875,548000,0.0,0.0
2024-05-01 00:00:00-04:00,1446.3699951171875,1483.6300048828125,1427.949951171875,1456.510009765625,526300,0.0,0.0
2024-05-02 00:00:00-04:00,1463.3800048828125,1506.25,1444.0999755859375,1505.989990234375,696000,0.0,0.0
2024-05-03 00:00:00-04:00,1620.0,1680.0,1617.0,1630.56005859375,1346800,0.0,0.0
2024-05-06 00:00:00-04:00,1642.2099609375,1694.0400390625,1633.3199462890625,1653.8499755859375,601900,0.0,0.0
2024-05-07 00:00:00-04:00,1652.93994140625,1702.68994140625,1640.22998046875,1688.68994140625,497000,0.0,0.0
2024-05-08 00:00:00-04:00,1665.0,1731.3800048828125,1663.3699951171875,1716.780029296875,485300,0.0,0.0
2024-05-09 00:00:00-04:00,1718.0,1718.0,1685.0,1695.4000244140625,473900,0.0,0.0
2024-05-10 00:00:00-04:00,1700.0,1710.6400146484375,1681.5400390625,1693.969970703125,230100,0.0,0.0
2024-05-13 00:00:00-04:00,1710.0,1710.0,1671.0,1677.3399658203125,247900,0.0,0.0
2024-05-14 00:00:00-04:00,1670.010009765625,1706.0,1655.949951171875,1683.9100341796875,323000,0.0,0.0
2024-05-15 00:00:00-04:00,1703.219970703125,1730.5,1682.9000244140625,1718.5,254200,0.0,0.0
2024-05-16 00:00:00-04:00,1728.0,1752.1700439453125,1721.010009765625,1739.1500244140625,338600,0.0,0.0
2024-05-17 00:00:00-04:00,1734.030029296875,1750.510009765625,1726.0799560546875,1749.1700439453125,274900,0.0,0.0
2024-05-20 00:00:00-04:00,1749.1700439453125,1792.050048828125,1742.47998046875,1787.72998046875,313300,0.0,0.0
2024-05-21 00:00:00-04:00,1773.0,1779.800048828125,1758.27001953125,1772.0699462890625,278500,0.0,0.0
2024-05-22 00:00:00-04:00,1772.800048828125,1772.800048828125,1722.3599853515625,1736.780029296875,341300,0.0,0.0
2024-05-23 00:00:00-04:00,1749.3399658203125,1749.3399658203125,1698.2099609375,1707.4000244140625,368400,0.0,0.0
2024-05-24 00:00:00-04:00,1682.97998046875,1715.68994140625,1671.219970703125,1693.5699462890625,375400,0.0,0.0
2024-05-28 00:00:00-04:00,1693.5699462890625,1708.550048828125,1680.050048828125,1708.0,254700,0.0,0.0
2024-05-29 00:00:00-04:00,1690.0,1733.0,1689.6600341796875,1709.8599853515625,270300,0.0,0.0
2024-05-30 00:00:00-04:00,1701.31005859375,1744.530029296875,1696.6800537109375,1699.949951171875,341300,0.0,0.0
2024-05-31 00:00:00-04:00,1699.949951171875,1732.0,1689.7900390625,1725.5799560546875,456200,0.0,0.0
2024-06-03 00:00:00-04:00,1718.050048828125,1723.280029296875,1679.0,1693.1400146484375,300400,0.0,0.0
2024-06-04 00:00:00-04:00,1684.0,1694.989990234375,1618.0,1630.6500244140625,380400,0.0,0.0
2024-06-05 00:00:00-04:00,1631.0,1641.9000244140625,1601.510009765625,1604.9000244140625,447200,0.0,0.0
2024-06-06 00:00:00-04:00,1604.949951171875,1628.5999755859375,1604.949951171875,1621.0899658203125,366600,0.0,0.0
2024-06-07 00:00:00-04:00,1622.6099853515625,1622.9599609375,1593.0899658203125,1600.1600341796875,292700,0.0,0.0
2024-06-10 00:00:00-04:00,1589.47998046875,1614.1400146484375,1583.6700439453125,1601.8800048828125,181400,0.0,0.0
2024-06-11 00:00:00-04:00,1593.5,1601.449951171875,1575.1199951171875,1580.0,192100,0.0,0.0
2024-06-12 00:00:00-04:00,1600.0999755859375,1609.0,1573.9599609375,1599.3399658203125,283700,0.0,0.0
2024-06-13 00:00:00-04:00,1606.43994140625,1617.1099853515625,1572.530029296875,1580.530029296875,251100,0.0,0.0
2024-06-14 00:00:00-04:00,1581.81005859375,1588.0,1561.0,1582.1400146484375,223100,0.0,0.0
2024-06-17 00:00:00-04:00,1580.06005859375,1587.6199951171875,1557.5,1559.22998046875,313400,0.0,0.0
2024-06-18 00:00:00-04:00,1558.300048828125,1583.280029296875,1550.0,1573.4000244140625,250700,0.0,0.0
2024-06-20 00:00:00-04:00,1570.0,1586.9000244140625,1567.969970703125,1585.030029296875,264200,0.0,0.0
2024-06-21 00:00:00-04:00,1622.030029296875,1622.030029296875,1579.6600341796875,1600.050048828125,307000,0.0,0.0
2024-06-24 00:00:00-04:00,1607.760009765625,1617.8399658203125,1580.0999755859375,1582.8599853515625,244600,0.0,0.0
2024-06-25 00:00:00-04:00,1592.199951171875,1647.1800537109375,1590.050048828125,1642.280029296875,261600,0.0,0.0
2024-06-26 00:00:00-04:00,1636.5,1682.68994140625,1626.469970703125,1678.9599609375,315300,0.0,0.0
2024-06-27 00:00:00-04:00,1682.3399658203125,1690.0,1650.25,1660.8900146484375,250600,0.0,0.0
2024-06-28 00:00:00-04:00,1663.6700439453125,1673.22998046875,1637.97998046875,1643.4000244140625,249600,0.0,0.0
2024-07-01 00:00:00-04:00,1635.6099853515625,1641.0400390625,1571.8699951171875,1597.5999755859375,337600,0.0,0.0
2024-07-02 00:00:00-04:00,1590.949951171875,1617.8800048828125,1583.3499755859375,1596.47998046875,297400,0.0,0.0
2024-07-03 00:00:00-04:00,1585.0,1594.1199951171875,1563.2099609375,1591.43994140625,207700,0.0,0.0
2024-07-05 00:00:00-04:00,1610.0,1666.27001953125,1598.06005859375,1658.9599609375,354400,0.0,0.0
2024-07-08 00:00:00-04:00,1659.3900146484375,1700.9000244140625,1647.0,1683.75,310500,0.0,0.0
2024-07-09 00:00:00-04:00,1698.989990234375,1733.969970703125,1675.77001953125,1722.050048828125,349000,0.0,0.0
2024-07-10 00:00:00-04:00,1733.97998046875,1739.3399658203125,1679.9599609375,1703.550048828125,268100,0.0,0.0
2024-07-11 00:00:00-04:00,1710.5699462890625,1733.760009765625,1700.0400390625,1708.6500244140625,258800,0.0,0.0
2024-07-12 00:00:00-04:00,1710.449951171875,1764.5,1710.449951171875,1761.219970703125,335200,0.0,0.0
2024-07-15 00:00:00-04:00,1745.6199951171875,1760.3800048828125,1727.449951171875,1743.989990234375,376500,0.0,0.0
2024-07-16 00:00:00-04:00,1741.31005859375,1745.510009765625,1707.0,1720.4300537109375,265100,0.0,0.0
2024-07-17 00:00:00-04:00,1710.0,1710.0,1655.0999755859375,1670.0899658203125,378000,0.0,0.0
2024-07-18 00:00:00-04:00,1670.72998046875,1685.31005859375,1613.5400390625,1623.260009765625,270400,0.0,0.0
2024-07-19 00:00:00-04:00,1612.9000244140625,1664.5899658203125,1612.9000244140625,1649.989990234375,174100,0.0,0.0
2024-07-22 00:00:00-04:00,1668.18994140625,1691.949951171875,1651.22998046875,1687.3800048828125,193900,0.0,0.0
2024-07-23 00:00:00-04:00,1683.510009765625,1700.1800537109375,1680.22998046875,1692.22998046875,217700,0.0,0.0
2024-07-24 00:00:00-04:00,1676.1700439453125,1676.1700439453125,1635.510009765625,1642.550048828125,240300,0.0,0.0
2024-07-25 00:00:00-04:00,1634.3900146484375,1674.5,1595.260009765625,1625.1500244140625,278700,0.0,0.0
2024-07-26 00:00:00-04:00,1629.3399658203125,1668.030029296875,1629.3399658203125,1651.68994140625,169000,0.0,0.0
2024-07-29 00:00:00-04:00,1667.1500244140625,1670.0,1613.6700439453125,1621.4000244140625,217900,0.0,0.0
2024-07-30 00:00:00-04:00,1623.72998046875,1647.6300048828125,1603.0899658203125,1626.1500244140625,327100,0.0,0.0
2024-07-31 00:00:00-04:00,1660.0,1674.5799560546875,1646.1199951171875,1668.9000244140625,375400,0.0,0.0
2024-08-01 00:00:00-04:00,1675.489990234375,1712.4599609375,1579.780029296875,1606.06005859375,624500,0.0,0.0
2024-08-02 00:00:00-04:00,1701.2099609375,1786.969970703125,1692.9599609375,1776.1400146484375,958300,0.0,0.0
2024-08-05 00:00:00-04:00,1666.0,1820.0,1656.739990234375,1776.0,725400,0.0,0.0
2024-08-06 00:00:00-04:00,1788.4000244140625,1850.0,1776.010009765625,1810.3900146484375,486500,0.0,0.0
2024-08-07 00:00:00-04:00,1834.8800048828125,1878.3800048828125,1825.81005859375,1859.699951171875,587100,0.0,0.0
2024-08-08 00:00:00-04:00,1880.0,1887.3399658203125,1829.1199951171875,1869.4000244140625,345100,0.0,0.0
2024-08-09 00:00:00-04:00,1869.6199951171875,1909.800048828125,1869.6199951171875,1883.6199951171875,232900,0.0,0.0
2024-08-12 00:00:00-04:00,1884.510009765625,1904.5999755859375,1874.6099853515625,1901.8199462890625,186900,0.0,0.0
2024-08-13 00:00:00-04:00,1905.0,1923.1800537109375,1891.97998046875,1916.199951171875,315200,0.0,0.0
2024-08-14 00:00:00-04:00,1921.6800537109375,1921.6800537109375,1883.0,1898.5699462890625,272900,0.0,0.0
2024-08-15 00:00:00-04:00,1920.0,1998.6800537109375,1915.0,1996.43994140625,519000,0.0,0.0
2024-08-16 00:00:00-04:00,1992.0,1999.0,1969.0,1977.969970703125,245100,0.0,0.0
2024-08-19 00:00:00-04:00,1989.6700439453125,2029.989990234375,1985.1700439453125,2028.0,402100,0.0,0.0
2024-08-20 00:00:00-04:00,2020.0,2027.780029296875,2000.030029296875,2005.6600341796875,225600,0.0,0.0
2024-08-21 00:00:00-04:00,2013.02001953125,2015.4599609375,1973.260009765625,2007.4599609375,238900,0.0,0.0
2024-08-22 00:00:00-04:00,2000.199951171875,2019.0,1983.449951171875,1988.8299560546875,191500,0.0,0.0
2024-08-23 00:00:00-04:00,2006.5,2009.8199462890625,1980.6199951171875,2000.31005859375,162700,0.0,0.0
2024-08-26 00:00:00-04:00,1991.72998046875,2007.6500244140625,1978.0,2004.699951171875,181700,0.0,0.0
2024-08-27 00:00:00-04:00,2002.989990234375,2048.989990234375,2002.989990234375,2036.2099609375,272400,0.0,0.0
2024-08-28 00:00:00-04:00,2035.25,2037.0,1982.6800537109375,1995.1700439453125,251500,0.0,0.0
2024-08-29 00:00:00-04:00,2003.469970703125,2023.550048828125,1994.989990234375,2015.7900390625,199200,0.0,0.0
2024-08-30 00:00:00-04:00,2025.989990234375,2064.760009765625,2018.4100341796875,2061.659912109375,384400,0.0,0.0
2024-09-03 00:00:00-04:00,2050.0,2053.590087890625,1984.0,1990.1700439453125,377200,0.0,0.0
2024-09-04 00:00:00-04:00,1996.8299560546875,2006.010009765625,1977.9000244140625,1991.5899658203125,167900,0.0,0.0
2024-09-05 00:00:00-04:00,1991.5899658203125,2048.050048828125,1991.5899658203125,2038.1800537109375,218700,0.0,0.0
2024-09-06 00:00:00-04:00,2034.8499755859375,2034.8499755859375,1966.0,1986.050048828125,304400,0.0,0.0
2024-09-09 00:00:00-04:00,2006.9599609375,2035.8800048828125,2001.800048828125,2029.9100341796875,229900,0.0,0.0
2024-09-10 00:00:00-04:00,2040.300048828125,2045.3299560546875,2001.5,2017.5799560546875,198600,0.0,0.0
2024-09-11 00:00:00-04:00,2026.81005859375,2053.0,1984.8499755859375,2045.8800048828125,323500,0.0,0.0
2024-09-12 00:00:00-04:00,2056.0,2142.590087890625,2054.719970703125,2140.10009765625,435900,0.0,0.0
